Cluster_ID,Total_Mentions,Jobs_Prevalence,Prevalence_Percent
3,378,42,89.4
0,207,41,87.2
19,190,40,85.1
2,178,41,87.2
14,178,39,83.0
1,176,41,87.2
8,169,38,80.9
18,150,39,83.0
11,136,34,72.3
15,134,42,89.4
16,129,40,85.1
4,116,31,66.0
6,100,36,76.6
13,98,29,61.7
10,88,31,66.0
7,87,37,78.7
5,82,27,57.4
12,77,38,80.9
17,73,31,66.0
9,46,18,38.3
