Dimension,Code,Total_Mentions,Jobs_Prevalence,Prevalence_Percent
Conceptual,TECH-CONCEPT,111,42,89.4
Hands-on,TECH-HANDSON,68,30,63.8
Integration,TECH-OPS,72,34,72.3
