Core_Competency,Tech_Competency,Co_occurrence_Count
SS-STAKEHOLDER,TECH-CONCEPT,40
SS-LEADERSHIP,TECH-CONCEPT,38
PM-METHOD,TECH-CONCEPT,19
PM-RISK,TECH-CONCEPT,31
CORE-BUSINESS,TECH-CONCEPT,40
SS-STAKEHOLDER,TECH-HANDSON,30
SS-LEADERSHIP,TECH-HANDSON,29
PM-METHOD,TECH-HANDSON,14
PM-RISK,TECH-HANDSON,21
CORE-BUSINESS,TECH-HANDSON,29
SS-STAKEHOLDER,TECH-OPS,34
SS-LEADERSHIP,TECH-OPS,32
PM-METHOD,TECH-OPS,17
PM-RISK,TECH-OPS,26
CORE-BUSINESS,TECH-OPS,33
