Code,Frequency,Construct
EXP_ROLE,197,Employer Expectations
SS-STAKEHOLDER,128,Core Competencies
CORE-BUSINESS,126,Core Competencies
PM-PLAN,121,Core Competencies
TECH-CONCEPT,111,Technical Competencies
SS-LEADERSHIP,105,Core Competencies
EXP-INDUSTRY,91,Employer Expectations
CONTEXT-COMPLEX,90,Project Context
TECH-OPS,72,Technical Competencies
TECH-HANDSON,68,Technical Competencies
